section,doc_id,topic_id,probability
business,http://www.bbc.co.uk/news/business-36394601,10,0.0936633268818
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36394803,18,0.314708444383
health,http://www.bbc.co.uk/news/health-36388050,18,0.176350630494
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36387445,10,0.124065157077
uk,http://www.bbc.co.uk/news/uk-england-36386665,8,0.091252748387
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36371014,15,0.128270678924
education,http://www.bbc.co.uk/news/education-36392685,13,0.181289574579
business,http://www.bbc.co.uk/news/business-36394905,15,0.120415747525
business,http://www.bbc.co.uk/news/business-36394832,14,0.134019731088
uk,http://www.bbc.co.uk/news/uk-36395448,0,0.252961415459
tech,http://www.bbc.co.uk/news/technology-36213365,7,0.272188536834
business,http://www.bbc.co.uk/news/business-36395347,1,0.257569495535
business,http://www.bbc.co.uk/news/business-36265567,16,0.186479107102
business,http://www.bbc.co.uk/news/business-36377756,7,0.35555621363
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36396157,2,0.348865971622
uk,http://www.bbc.co.uk/news/uk-36395700,7,0.269664502907
uk,http://www.bbc.co.uk/news/uk-36395450,7,0.295342525021
uk,http://www.bbc.co.uk/news/uk-36394842,7,0.168444138031
health,http://www.bbc.co.uk/news/health-36383884,2,0.137346030169
science,http://www.bbc.co.uk/news/science-environment-36397705,4,0.200950914143
business,http://www.bbc.co.uk/news/business-36396187,6,0.142765908909
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36396168,18,0.145917692667
uk,http://www.bbc.co.uk/news/uk-36394494,7,0.155249050652
tech,http://www.bbc.co.uk/news/technology-36397675,18,0.157958521752
tech,http://www.bbc.co.uk/news/technology-36397835,14,0.12556433618
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36397980,14,0.206303086831
tech,http://www.bbc.co.uk/news/technology-36397997,7,0.137438774494
business,http://www.bbc.co.uk/news/business-36399303,16,0.212944296915
science,http://www.bbc.co.uk/news/science-environment-36392093,2,0.106850354939
business,http://www.bbc.co.uk/news/business-36399484,14,0.166184038134
business,http://www.bbc.co.uk/news/business-36399305,7,0.182674933288
uk,http://www.bbc.co.uk/news/uk-england-36393977,7,0.184818340887
education,http://www.bbc.co.uk/news/education-36398362,18,0.177904246602
business,http://www.bbc.co.uk/news/business-36399307,7,0.15748117183
uk,http://www.bbc.co.uk/news/uk-england-london-36400861,19,0.150214935937
business,http://www.bbc.co.uk/news/business-36401857,16,0.171954655667
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36398282,0,0.182047950561
uk,http://www.bbc.co.uk/news/uk-32026985,4,0.128267115755
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36398283,13,0.173534234289
uk,http://www.bbc.co.uk/news/uk-england-36396341,1,0.161092472202
uk,http://www.bbc.co.uk/news/uk-england-london-36400865,8,0.153332464898
business,http://www.bbc.co.uk/news/business-36395692,7,0.181546747464
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36401571,2,0.278514935929
business,http://www.bbc.co.uk/news/business-36401868,14,0.120029233932
business,http://www.bbc.co.uk/news/business-36401871,18,0.183795441164
uk,http://www.bbc.co.uk/news/uk-england-london-36402543,7,0.193001468744
business,http://www.bbc.co.uk/news/business-36401864,16,0.129790675787
tech,http://www.bbc.co.uk/news/technology-36397679,7,0.271235902425
tech,http://www.bbc.co.uk/news/technology-36402751,6,0.212065208535
business,http://www.bbc.co.uk/news/business-36388301,5,0.111390786225
uk,http://www.bbc.co.uk/news/uk-england-36395400,1,0.10627258966
business,http://www.bbc.co.uk/news/business-36401693,18,0.119485172737
uk,http://www.bbc.co.uk/news/uk-36403825,9,0.0970328182802
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36401573,7,0.374411627726
uk,http://www.bbc.co.uk/news/uk-36403803,15,0.463129244098
uk,http://www.bbc.co.uk/news/uk-36404135,15,0.202895550811
world,http://www.bbc.co.uk/news/world-36402350,4,0.22427787618
world,http://www.bbc.co.uk/news/world-36400717,7,0.225212279146
uk,http://www.bbc.co.uk/news/uk-36404486,14,0.191019697572
education,http://www.bbc.co.uk/news/education-36404490,18,0.31930373997
uk,http://www.bbc.co.uk/news/uk-36404516,5,0.211150381803
world,http://www.bbc.co.uk/news/world-36405038,14,0.181102201373
science,http://www.bbc.co.uk/news/science-environment-36404599,3,0.216096852167
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36404603,18,0.215348595112
uk,http://www.bbc.co.uk/news/uk-england-london-36400870,6,0.14019476352
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36405102,15,0.261142496923
uk,http://www.bbc.co.uk/news/uk-england-london-36404607,19,0.133318972744
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36397983,18,0.156209101772
education,http://www.bbc.co.uk/news/education-36398247,18,0.176878280548
uk,http://www.bbc.co.uk/news/uk-england-36405178,7,0.179663584207
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36405040,18,0.120628096795
uk,http://www.bbc.co.uk/news/uk-england-36404927,5,0.146606132536
uk,http://www.bbc.co.uk/news/uk-36389771,1,0.155390510351
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36368266,18,0.522750245027
uk,http://www.bbc.co.uk/news/uk-36406780,8,0.174202910026
world,http://www.bbc.co.uk/news/world-36400711,4,0.423156585506
uk,http://www.bbc.co.uk/news/uk-36405710,2,0.241320226962
uk,http://www.bbc.co.uk/news/uk-36401663,4,0.146167285353
business,http://www.bbc.co.uk/news/business-36383444,16,0.214281406074
uk,http://www.bbc.co.uk/news/uk-england-london-36407743,15,0.116696265696
uk,http://www.bbc.co.uk/news/uk-36407724,10,0.217590152996
science,http://www.bbc.co.uk/news/science-environment-36407875,8,0.304797366816
uk,http://www.bbc.co.uk/news/uk-36407682,0,0.107333749567
uk,http://www.bbc.co.uk/news/uk-36407876,16,0.235586446782
science,http://www.bbc.co.uk/news/science-environment-36389843,18,0.141263392098
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36407118,13,0.0919525362559
health,http://www.bbc.co.uk/news/health-36407877,7,0.371519802777
health,http://www.bbc.co.uk/news/health-36407596,1,0.179867399288
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36347096,2,0.329457746232
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36344758,2,0.22846225322
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36409457,5,0.22388167334
uk,http://www.bbc.co.uk/news/uk-36409458,1,0.164819621087
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36409941,7,0.14757380751
uk,http://www.bbc.co.uk/news/uk-36407879,4,0.254407766493
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36409943,11,0.110412502747
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36409946,11,0.114256299821
business,http://www.bbc.co.uk/news/business-36408238,2,0.157350630461
business,http://www.bbc.co.uk/news/business-36402665,5,0.187657978262
science,http://www.bbc.co.uk/news/science-environment-36410236,4,0.28274796737
uk,http://www.bbc.co.uk/news/uk-36410733,15,0.355752570439
world,http://www.bbc.co.uk/news/world-36400924,4,0.288822351502
business,http://www.bbc.co.uk/news/business-36410497,2,0.224613556255
uk,http://www.bbc.co.uk/news/uk-36410720,3,0.126887872906
health,http://www.bbc.co.uk/news/health-36411403,2,0.499126302819
uk,http://www.bbc.co.uk/news/uk-36410539,2,0.123131928964
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36411114,4,0.14313669725
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36411485,15,0.109724991508
uk,http://www.bbc.co.uk/news/uk-36411638,15,0.123751432921
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36412027,18,0.223312318214
uk,http://www.bbc.co.uk/news/uk-england-london-36411782,19,0.123102854394
world,http://www.bbc.co.uk/news/world-36411406,2,0.184664668106
tech,http://www.bbc.co.uk/news/technology-36412487,7,0.139106602539
uk,http://www.bbc.co.uk/news/uk-36411404,11,0.150325513626
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36412028,16,0.169325877286
uk,http://www.bbc.co.uk/news/uk-36413087,4,0.176249958344
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36411819,18,0.0887746631729
business,http://www.bbc.co.uk/news/business-36412396,16,0.167481027417
tech,http://www.bbc.co.uk/news/technology-36374185,4,0.245666430517
business,http://www.bbc.co.uk/news/business-36414082,1,0.125818787041
tech,http://www.bbc.co.uk/news/technology-36414264,7,0.173848699725
uk,http://www.bbc.co.uk/news/uk-36411112,6,0.155727753247
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36414692,0,0.377118729937
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36413928,11,0.177035229188
uk,http://www.bbc.co.uk/news/uk-36414693,18,0.452287765284
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36414795,9,0.262000443566
business,http://www.bbc.co.uk/news/business-36341546,2,0.0904131086655
uk,http://www.bbc.co.uk/news/uk-36414774,15,0.464665831091
uk,http://www.bbc.co.uk/news/uk-england-36414797,18,0.233679684133
uk,http://www.bbc.co.uk/news/uk-england-london-36412310,7,0.132743226647
business,http://www.bbc.co.uk/news/business-36414910,2,0.363041679627
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36413168,8,0.103517856255
business,http://www.bbc.co.uk/news/business-36414872,7,0.153102558522
health,http://www.bbc.co.uk/news/health-36415361,18,0.517360524622
uk,http://www.bbc.co.uk/news/uk-36415363,5,0.13131363408
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36415989,5,0.298356534207
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36415909,18,0.150916933507
uk,http://www.bbc.co.uk/news/uk-36399408,2,0.0912351310337
uk,http://www.bbc.co.uk/news/uk-england-36416162,8,0.200949011451
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36416120,2,0.145065049108
business,http://www.bbc.co.uk/news/business-36415462,18,0.122910112623
uk,http://www.bbc.co.uk/news/uk-england-36415608,16,0.112284503023
business,http://www.bbc.co.uk/news/business-36415422,2,0.241854187093
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36417157,14,0.147262823309
uk,http://www.bbc.co.uk/news/uk-36418475,1,0.344689127803
tech,http://www.bbc.co.uk/news/technology-36416855,7,0.105290017228
business,http://www.bbc.co.uk/news/business-36418555,2,0.117488242411
tech,http://www.bbc.co.uk/news/technology-36416967,9,0.113830555879
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36415915,18,0.133091646204
uk,http://www.bbc.co.uk/news/uk-36417278,4,0.261806331611
uk,http://www.bbc.co.uk/news/uk-england-36416259,14,0.134880922226
tech,http://www.bbc.co.uk/news/technology-36416222,9,0.131728493248
uk,http://www.bbc.co.uk/news/uk-england-36417578,4,0.139563134034
business,http://www.bbc.co.uk/news/business-36416617,16,0.143809150961
uk,http://www.bbc.co.uk/news/uk-36415364,5,0.170211686618
business,http://www.bbc.co.uk/news/business-36419266,2,0.096057469389
tech,http://www.bbc.co.uk/news/technology-36416970,3,0.164668898175
education,http://www.bbc.co.uk/news/education-36420790,13,0.118635711683
business,http://www.bbc.co.uk/news/business-36415889,14,0.137342242471
health,http://www.bbc.co.uk/news/health-36421124,6,0.0979292730968
uk,http://www.bbc.co.uk/news/uk-england-36417582,18,0.10892063665
uk,http://www.bbc.co.uk/news/uk-36421541,7,0.19695077879
uk,http://www.bbc.co.uk/news/uk-england-london-36418383,4,0.103692298712
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36418666,1,0.234865333521
uk,http://www.bbc.co.uk/news/uk-england-36421410,7,0.359900607191
uk,http://www.bbc.co.uk/news/uk-england-36420329,5,0.160429843003
uk,http://www.bbc.co.uk/news/uk-england-london-36412679,9,0.164900694159
uk,http://www.bbc.co.uk/news/uk-36415365,11,0.227545168641
business,http://www.bbc.co.uk/news/business-36420692,18,0.143467809716
business,http://www.bbc.co.uk/news/business-36421304,7,0.250244691331
uk,http://www.bbc.co.uk/news/uk-36422171,1,0.226401081323
uk,http://www.bbc.co.uk/news/uk-36421543,1,0.123497855151
business,http://www.bbc.co.uk/news/business-36420285,7,0.158030020549
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36422847,7,0.119797124638
tech,http://www.bbc.co.uk/news/technology-36419035,2,0.265724364427
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36419583,0,0.271273168019
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36422668,2,0.171867981442
uk,http://www.bbc.co.uk/news/uk-36422885,15,0.425373299742
tech,http://www.bbc.co.uk/news/technology-36368877,18,0.155120817199
business,http://www.bbc.co.uk/news/business-36422409,4,0.224588414883
