section,doc_id,topic_id,probability
science,http://www.bbc.co.uk/news/science-environment-36104056,8,0.1174992794
health,http://www.bbc.co.uk/news/health-36105516,2,0.132023344436
health,http://www.bbc.co.uk/news/health-36101302,8,0.15548855568
business,http://www.bbc.co.uk/news/business-36107546,10,0.153240335374
business,http://www.bbc.co.uk/news/business-36108166,12,0.159357381331
uk,http://www.bbc.co.uk/news/uk-36100805,13,0.109515401447
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36108133,8,0.17350315468
uk,http://www.bbc.co.uk/news/uk-36103978,8,0.0825225260969
health,http://www.bbc.co.uk/news/health-36105272,11,0.120609525347
business,http://www.bbc.co.uk/news/business-36108378,2,0.128310731206
tech,http://www.bbc.co.uk/news/technology-36109194,8,0.170695702677
uk,http://www.bbc.co.uk/news/uk-england-36103590,1,0.120550734769
uk,http://www.bbc.co.uk/news/uk-england-36071044,13,0.146610788947
tech,http://www.bbc.co.uk/news/technology-35926737,12,0.163718761069
business,http://www.bbc.co.uk/news/business-36109421,4,0.104647117829
business,http://www.bbc.co.uk/news/business-36109754,8,0.199269154813
tech,http://www.bbc.co.uk/news/technology-36110228,11,0.137281352517
business,http://www.bbc.co.uk/news/business-36108480,8,0.134769168704
education,http://www.bbc.co.uk/news/education-36084844,8,0.132184437286
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36080832,17,0.103647203101
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36109294,14,0.137305193075
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36101502,13,0.0999354113694
science,http://www.bbc.co.uk/news/science-environment-36098310,12,0.0903645030455
business,http://www.bbc.co.uk/news/business-36110830,7,0.100361833497
education,http://www.bbc.co.uk/news/education-36092765,5,0.122005048981
tech,http://www.bbc.co.uk/news/technology-36110421,11,0.135044040144
science,http://www.bbc.co.uk/news/science-environment-36051112,13,0.103016606701
education,http://www.bbc.co.uk/news/education-36110880,2,0.152170737124
uk,http://www.bbc.co.uk/news/uk-england-36091818,14,0.123062901405
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111200,16,0.194076350346
education,http://www.bbc.co.uk/news/education-36108449,13,0.220902094926
health,http://www.bbc.co.uk/news/health-36109759,7,0.149488532905
business,http://www.bbc.co.uk/news/business-36108385,4,0.0929359727956
tech,http://www.bbc.co.uk/news/technology-36110422,10,0.113988188148
business,http://www.bbc.co.uk/news/business-36109689,8,0.126139891751
business,http://www.bbc.co.uk/news/business-36111551,15,0.156878309701
uk,http://www.bbc.co.uk/news/uk-england-36111412,14,0.12820458057
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111225,17,0.21215287535
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36111208,14,0.164827804718
uk,http://www.bbc.co.uk/news/uk-36109196,1,0.296560277021
uk,http://www.bbc.co.uk/news/uk-36114226,5,0.248440552172
uk,http://www.bbc.co.uk/news/uk-36108514,0,0.197745130292
uk,http://www.bbc.co.uk/news/uk-england-london-36110279,6,0.11595498497
business,http://www.bbc.co.uk/news/business-36110439,9,0.108240741374
education,http://www.bbc.co.uk/news/education-36109164,8,0.147008100146
uk,http://www.bbc.co.uk/news/uk-england-36106712,8,0.152178771592
uk,http://www.bbc.co.uk/news/uk-36113466,6,0.249796046749
uk,http://www.bbc.co.uk/news/uk-36109197,14,0.203082884776
business,http://www.bbc.co.uk/news/business-36114100,13,0.12351063407
uk,http://www.bbc.co.uk/news/uk-36111375,13,0.158018436132
tech,http://www.bbc.co.uk/news/technology-36105738,8,0.0995194096647
health,http://www.bbc.co.uk/news/health-35226014,1,0.116421585936
tech,http://www.bbc.co.uk/news/technology-36110425,14,0.146950746906
business,http://www.bbc.co.uk/news/business-36114491,8,0.139813276098
entertainment,http://www.bbc.co.uk/news/entertainment-arts-36114266,16,0.126698671917
business,http://www.bbc.co.uk/news/business-36110626,12,0.182636679987
