section,doc_id,topic_id,probability
business,http://www.bbc.co.uk/news/business-35940167,3,0.239407304272
uk,http://www.bbc.co.uk/news/uk-england-london-35936907,18,0.19270566693
uk,http://www.bbc.co.uk/news/uk-england-london-35935631,5,0.113581047253
tech,http://www.bbc.co.uk/news/technology-35940488,16,0.19905994767
business,http://www.bbc.co.uk/news/business-35940170,15,0.144994919885
tech,http://www.bbc.co.uk/news/technology-35940302,16,0.104385546535
uk,http://www.bbc.co.uk/news/uk-35940113,15,0.323946974566
world,http://www.bbc.co.uk/news/world-35940407,9,0.172321183692
tech,http://www.bbc.co.uk/news/technology-35940171,15,0.167832173574
health,http://www.bbc.co.uk/news/health-35940858,14,0.34807668968
health,http://www.bbc.co.uk/news/health-35929557,7,0.091976418951
business,http://www.bbc.co.uk/news/business-35935677,9,0.174449684307
tech,http://www.bbc.co.uk/news/technology-35764663,16,0.224886224812
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35938704,19,0.116332332744
uk,http://www.bbc.co.uk/news/uk-35940864,14,0.290026719656
uk,http://www.bbc.co.uk/news/uk-35941291,9,0.284575301179
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35940070,1,0.097529628644
health,http://www.bbc.co.uk/news/health-35940968,18,0.207719980846
tech,http://www.bbc.co.uk/news/technology-35941806,19,0.149126831653
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35940974,8,0.201419566732
uk,http://www.bbc.co.uk/news/uk-england-london-33675875,18,0.101231781996
entertainment,http://www.bbc.co.uk/news/entertainment-arts-35941455,6,0.106778794064
business,http://www.bbc.co.uk/news/business-35941503,14,0.1676545862
uk,http://www.bbc.co.uk/news/uk-england-london-35936909,1,0.142759611889
uk,http://www.bbc.co.uk/news/uk-england-35942138,18,0.15846752016
business,http://www.bbc.co.uk/news/business-35940988,11,0.23405509698
tech,http://www.bbc.co.uk/news/technology-35942609,0,0.113783624638
uk,http://www.bbc.co.uk/news/uk-35941294,11,0.226869489779
uk,http://www.bbc.co.uk/news/uk-35941395,8,0.106686335567
business,http://www.bbc.co.uk/news/business-35942029,16,0.274468522275
uk,http://www.bbc.co.uk/news/uk-england-london-35938274,7,0.0809783263284
tech,http://www.bbc.co.uk/news/technology-35943062,3,0.111552921052
uk,http://www.bbc.co.uk/news/uk-35941866,17,0.114674039537
business,http://www.bbc.co.uk/news/business-35944942,9,0.160424616352
business,http://www.bbc.co.uk/news/business-35941233,19,0.205882259126
uk,http://www.bbc.co.uk/news/uk-england-35942327,16,0.115892025751
uk,http://www.bbc.co.uk/news/uk-england-london-35555323,7,0.359523685636
business,http://www.bbc.co.uk/news/business-35941757,14,0.147280460255
uk,http://www.bbc.co.uk/news/uk-england-35942554,1,0.184648570075
